"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FADB4J8H","journalArticle","1997","Gutierrez, P.; Wilson, M. R.; Johnson, C.; Gordon, M.; Cioffi, G. A.; Ritch, R.; Sherwood, M.; Meng, K.; Mangione, C. M.","Influence of glaucomatous visual field loss on health-related quality of life","Arch Ophthalmol","","0003-9950 (Print)0003-9950","","http://dx.doi.org/ https://jamanetwork.com/journals/jamaophthalmology/article-abstract/642166","We examined the influence of glaucomatous visual field defects on vision-targeted and generic health-related quality of life. Vision-targeted and generic health status were assessed across 5 glaucoma treatment categories and a normal reference group from 5 tertiary care ophthalmology practices during regularly scheduled eye care visits. The sample consisted of 147 patients who were members of specific glaucoma treatment categories and 44 reference group patients. For patients with glaucoma, eligibility included a diagnosis of glaucoma at least 1 year prior to enrollment and no evidence of other eye disease. Participants completed 2 vision-targeted surveys, the National Eye Institute Visual Functioning Questionnaire and the VF-14, and a generic health-related quality of life measure, the Medical Outcomes Study 36-Item Short Form. Data from automated perimetry (Humphrey Field Analyzer 24-2, Humphrey Instruments, San Leandro, Calif) were used to generate Advanced Glaucoma Intervention Study scores for all participants. The Medical Outcomes Study 36-Item Short Form scores from glaucoma and reference group participants collected on a random half of the sample were similar. However, comparisons of the vision-targeted surveys demonstrated significant mean differences on 7 of 11 National Eye Institute Visual Functioning Questionnaire scales, and a trend toward significant differences for the VF-14 (P < .07 by linear regression). Greater visual field defects in the better eye were significantly associated with poorer National Eye Institute Visual Functioning Questionnaire scores (P < .05), as well as with worse VF-14 scores. These findings were most dramatic for patients with the most severe field loss in the better eye. Vision-targeted questionnaires were more sensitive than a generic health-related quality of life measure to differences between glaucoma and normal reference participants. Our findings indicate that self-reports of vision-targeted health-related quality of life are sensitive to visual field loss and may be useful in tandem with the clinical examination to fully understand outcomes of treatment for glaucoma.","1997-06","2019-03-21 19:54:39","2019-03-21 19:54:39","","777-84","","6","115","","Archives of ophthalmology (Chicago, Ill. : 1960)","","","","","","","","eng","","","","9194730","NLM","","","","/Users/domusc/Zotero/storage/ALME6JKY/Gutierrez et al. - 1997 - Influence of glaucomatous visual field loss on hea.pdf","","*Visual Fields; Adult; Humans; Middle Aged; Aged; Aged, 80 and over; *Quality of Life; Surveys and Questionnaires; *Health Status; Multivariate Analysis; Sensitivity and Specificity; Glaucoma/*physiopathology; Prospective Studies; Models, Theoretical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZR6XCS2","book","1988","Cohen, J.","Statistical Power Analysis for the Behavioral Sciences","","","","","https://books.google.com/books/about/Statistical_Power_Analysis_for_the_Behav.html?id=cIJH0lR33bgC","Statistical Power Analysis is a nontechnical guide to power analysis in research planning that provides users of applied statistics with the tools they need for more effective analysis. The Second Edition includes:  * a chapter covering power analysis in set correlation and multivariate methods; * a chapter considering effect size, psychometric reliability, and the efficacy of ""qualifying"" dependent variables and; * expanded power and sample size tables for multiple regression/correlation.","1988","2019-03-21 19:54:28","2019-03-21 19:54:28","","","","","","","","","","","","","","Hillsdale, New Jersey","","","","","","","","","","","","","","","Associates, Lawrence Erlbaum","","","","","","","","","","","","","","","","","","2nd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQBUT235","journalArticle","1982","Ferris, F. L., 3rd; Kassoff, A.; Bresnick, G. H.; Bailey, I.","New visual acuity charts for clinical research","Am J Ophthalmol","","0002-9394 (Print)0002-9394","","http://dx.doi.org/ https://www.sciencedirect.com/science/article/pii/0002939482901970?via%3Dihub","Three new visual acuity charts facilitate quantitative use of visual acuity test results. The charts have high-contrast lettering on washable white polystyrene. Each line has five Sloan letters; the lines are of equal difficulty and there is a geometric progression in letter size from line to line. This provides a similar task for each line on the chart with the letter size being the only variable. Charts with different letter sequences are used for testing right and left eyes.","1982-07","2019-03-21 19:54:26","2019-03-21 19:54:26","","91-6","","1","94","","American journal of ophthalmology","","","","","","","","eng","","","","7091289","NLM","","","","","","Humans; *Visual Acuity; Vision Tests/*instrumentation; Research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H34I3AB","journalArticle","2011","Patino, C. M.; Varma, R.; Azen, S. P.; Conti, D. V.; Nichol, M. B.; McKean-Cowdin, R.; Los Angeles Latino Eye Study, Group","The impact of change in visual field on health-related quality of life the los angeles latino eye study","Ophthalmology","","1549-4713 (Electronic) 0161-6420 (Linking)","10.1016/j.ophtha.2010.12.018","http://www.ncbi.nlm.nih.gov/pubmed/21458074 http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3129408/pdf/nihms261058.pdf","PURPOSE: To assess the impact of change in visual field (VF) on change in health-related quality of life (HRQoL) at the population level. DESIGN: Prospective cohort study. PARTICIPANTS: Three thousand one hundred seventy-five Los Angles Latino Eye Study participants. METHODS: Objective measures of VF and visual acuity and self-reported HRQoL were collected at baseline and at the 4-year follow-up. Analysis of covariance was used to evaluate mean differences in change of HRQoL across severity levels of change in VF and to test for effect modification by covariates. MAIN OUTCOME MEASURES: General and vision-specific HRQoL. RESULTS: Of 3175 participants, 1430 (45%) showed a change in VF (>/=1 decibel [dB]) and 1715 (54%) reported a clinically important change (>/=5 points) in vision-specific HRQoL. Progressive worsening and improvement in the VF were associated with increasing losses and gains in vision-specific HRQoL for the composite score and 10 of its 11 subscales (all P(trend)<0.05). Losses in VF of more than 5 dB and gains of more than 3 dB were associated with clinically meaningful losses and gains in vision-specific HRQoL, respectively. Areas of vision-specific HRQoL most affected by greater losses in VF were driving, dependency, role-functioning, and mental health. The effect of change in VF (loss or gain) on mean change in vision-specific HRQoL varied by level of baseline vision loss (in VF, visual acuity, or both) and by change in visual acuity (all P(interaction)<0.05). Those with moderate or severe VF loss at baseline and with a more than 5 dB loss in VF during the study period had a mean loss of vision-specific HRQoL of 11.3 points, whereas those with no VF loss at baseline had a mean loss of 0.97 points. Similarly, with a more than 5 dB loss in VF and baseline visual acuity impairment (mild or severe), there was a loss in vision-specific HRQoL of 10.5 points, whereas with no visual acuity impairment at baseline, there was a loss of vision-specific HRQoL of 3.7 points. CONCLUSIONS: Both losses and gains in VF produce clinically meaningful changes in vision-specific HRQoL. In the presence of pre-existing vision loss (VF and visual acuity), similar levels of VF change produce greater losses in QOL.","2011-07","2019-03-21 19:56:27","2019-03-21 19:56:27","","1310-7","","7","118","","","","","","","","","","","","","","21458074","","","","","","","*Visual Fields; Humans; Middle Aged; Female; Male; Follow-Up Studies; Severity of Illness Index; *Quality of Life; Visual Acuity; *Health Status; Cohort Studies; Prospective Studies; *Hispanic Americans; Los Angeles/ethnology; Vision Disorders/ethnology/*physiopathology/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K36ZBU9L","journalArticle","2010","Patino, C. M.; McKean-Cowdin, R.; Azen, S. P.; Allison, J. C.; Choudhury, F.; Varma, R.","Central and peripheral visual impairment and the risk of falls and falls with injury","Ophthalmology","","0161-6420","10.1016/j.ophtha.2009.06.063","http://dx.doi.org/10.1016/j.ophtha.2009.06.063 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2819614/pdf/nihms128993.pdf","OBJECTIVE: To evaluate whether central (CVI) and peripheral visual impairment (PVI) are independent risk factors for falls and falls with injury 4 years later. DESIGN: Population-based, prospective cohort study. PARTICIPANTS: A population-based sample of 3203 adult Latinos. METHODS: Baseline presenting binocular central distance acuity was measured and impairment was classified as mild (20/40-20/63) or moderate/severe (<or=20/80). Peripheral visual impairment was classified as mild (-6 dB < mean deviation < -2 dB in worse eye), moderate/severe (mean deviation <or=-6 dB in worse eye). MAIN OUTCOME MEASURES: Falls and falls with injury in the past 12 months were assessed by self-report at the 4-year follow-up visit. RESULTS: Out of 3203 individuals, 19% reported falls and 10% falls with injury 4 years after the baseline examination; participants with falls were more likely to be >or=60 years of age, be female, report lower income, have >2 comorbidities, report alcohol use, report wearing bifocal glasses, and report obesity. Among those who reported falls, 7% had CVI (visual acuity >20/40) compared with 4% who did not report falls; and 49% had PVI (mean deviation < -2 dB) compared with 39% of those who did not report falls (both P<0.0001). After adjusting for confounders, moderate to severe CVI and PVI were associated with increased risk for falls (odds ratio [OR], 2.36; 95% confidence interval [CI], 1.02-5.45; P(trend) = 0.04; and OR, 1.42; 95% CI, 1.06-1.91l P(trend) = 0.01, respectively) and with falls with injury (OR, 2.76; 95% CI, 1.10-7.02; P(value) = 0.03; and OR, 1.40; 95% CI, 0.94-2.05 P(trend) = 0.04, respectively). CONCLUSIONS: Both CVI and PVI were independently associated with increased risk for falls and falls with injury 4 years after the initial examination in a dose-response manner. Although vision-related interventions for preventing falls have mainly focused on correcting CVI, this study suggests that targeting both central and peripheral components may be necessary to effectively reduce rates of falls and falls with injury related to vision loss.","2010-02","2019-03-21 19:56:13","2019-03-21 19:56:13","","199-206.e1","","2","117","","Ophthalmology","","","","","","","","eng","","","","20031225","NLM","","","","","","Adult; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Follow-Up Studies; Surveys and Questionnaires; Visual Acuity; Risk Factors; Prospective Studies; Accidental Falls/*statistics & numerical data; Visually Impaired Persons/*statistics & numerical data; Hispanic Americans/*ethnology; Los Angeles/epidemiology; Vision Disorders/*complications; Wounds and Injuries/*epidemiology/etiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9353674","journalArticle","2019","Cole, Ki","Rasch Model Calibrations with SAS PROC IRT and WINSTEPS","Journal of Applied Measurement","","1529-7713","","","The WINSTEPS software is widely used for Rasch model calibrations. Recently, SAS/STAT released the PROC IRT procedure for IRT analysis, including Rasch. The purpose of the study is compare the performance of the PROC IRT procedure with WINSTEPS to calibrate dichotomous and polytomous Rasch models in order to diagnose the possibility of using PROC IRT as a viable alternative. A simulation study was used to compare the two programs in terms of the convergence rate, run time, item parameter estimates, and ability estimates with different test lengths and sample sizes. Implications of the results and the features of each software are discussed for research applications and large-scale assessment.","2019","2019-10-15 16:55:43","2019-10-15 16:55:43","","27-45","","1","20","","J Appl Meas","","","","","","","","eng","","","","","PubMed","","PMID: 30789831","","/Users/domusc/Zotero/storage/K94BZBQM/Cole - 2019 - Rasch Model Calibrations with SAS PROC IRT and WIN.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/30789831","","Calibration; Models, Statistical; Sample Size; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6W4RZ23","journalArticle","1999","Valbuena, M.; Bandeen-Roche, K.; Rubin, G. S.; Munoz, B.; West, S. K.","Self-reported assessment of visual function in a population-based study: the SEE project. Salisbury Eye Evaluation","Investigative Ophthalmology & Visual Science","","0146-0404","","","PURPOSE: To report on the usefulness of the Activities of Daily Vision Scale (ADVS) questionnaire for assessing visual functioning, a population-based sample of elderly Americans. METHODS: The ADVS questionnaire was administered to a population-based sample of 2520 community-dwelling individuals 65 to 84 years of age in Salisbury, MD. Items and subscales were evaluated for internal consistency, item discrimination, and content validity. Published subscale groupings and item associations in our population were compared for coherence using correlation, factor, and cluster analyses. Whole-sample and race- and gender-specific analyses were conducted. External validity was explored by regressing ADVS scores on standard psychophysical vision measures. RESULTS: ADVS scores were skewed to high visual functioning levels; approximately 60% of the population had function scores of 95 or better (of a possible 100). The overall, night driving, and near vision scales were internally consistent and had strong item-subscale associations; the day driving and glare subscales were not acceptable regarding these properties. The far vision subscale was acceptably scalable but only weakly differentiated from the other subscales. Overall, night driving, near vision, and far vision scores were all statistically and independently associated with multiple psychophysical vision measures. Findings were consistent across race and gender subgroups. CONCLUSIONS: As assessed by the ADVS, reported visual functioning is high in our representative older population. The overall scale and selected subscales effectively distinguish persons along a spectrum of ability. They correlate with measures of visual impairment in a reasonable way and thus hold promise for risk factor investigations. The published day driving and glare subscales should be examined for relevance and consistency before being applied in population-based settings. Methods specific to population-based settings should be investigated for their ability to better elicit additional visual function dimensions and early visual disability.","1999-02","2019-10-14 17:05:05","2019-10-14 17:05:15","","280-288","","2","40","","Invest. Ophthalmol. Vis. Sci.","Self-reported assessment of visual function in a population-based study","","","","","","","eng","","","","","PubMed","","PMID: 9950585","","","http://www.ncbi.nlm.nih.gov/pubmed/9950585","","Activities of Daily Living; Aged; Aged, 80 and over; Automobile Driving; Contrast Sensitivity; Female; Geriatric Assessment; Glare; Humans; Male; Psychometrics; Quality of Life; Reading; Self Disclosure; Surveys and Questionnaires; Vision Screening; Visual Acuity; Visual Fields; Walking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A7R3V3R","journalArticle","2001","Rubin, G. S.; Bandeen-Roche, K.; Huang, G. H.; Muñoz, B.; Schein, O. D.; Fried, L. P.; West, S. K.","The association of multiple visual impairments with self-reported visual disability: SEE project","Investigative Ophthalmology & Visual Science","","0146-0404","","","PURPOSE: This report examines the relationship between psychophysical measures of visual impairment and self-reported difficulty with everyday visual tasks in a population-based sample of individuals 65 years of age and older. METHODS: Community-dwelling residents (n = 2520) of Salisbury, MD, between the ages of 65 and 84 were recruited for the study. Visual acuity under normal and low luminance, contrast and glare sensitivity, stereoacuity, and visual fields were measured. Subjective physical disability was assessed with the Activities of Daily Vision Scale (ADVS). RESULTS: In multiple regression analyses adjusted for demographic factors, cognitive status, depression, and number of comorbid medical conditions, each of the vision tests except low luminance acuity was independently associated with lower ADVS scores. The analyses indicate that a factor of 2 reduction in visual acuity or contrast sensitivity, comparable with that observed in mild to moderate lens opacity, was associated with a three- to fivefold odds of reporting difficulty with daily tasks. Although age alone was a significant risk factor for disability, it was not associated with overall ADVS score, once visual impairment and other chronic medical conditions were taken into account. CONCLUSIONS: Visual acuity, contrast and glare sensitivity, stereoacuity, and visual fields are significant independent risk factors for self-reported visual disability in an older population. Visual impairment defined by acuity alone is not the only dimension of the association with subjective disability. Additional vision measures are required to understand the impact of vision loss on everyday life.","2001-01","2019-10-14 17:02:13","2019-10-14 17:02:13","","64-72","","1","42","","Invest. Ophthalmol. Vis. Sci.","The association of multiple visual impairments with self-reported visual disability","","","","","","","eng","","","","","PubMed","","PMID: 11133849","","","http://www.ncbi.nlm.nih.gov/pubmed/11133849","","Activities of Daily Living; Aged; Aged, 80 and over; Contrast Sensitivity; Disability Evaluation; Female; Glare; Health Status Indicators; Humans; Male; Maryland; Risk Factors; Self Disclosure; Vision Disorders; Visual Acuity; Visual Field Tests; Visual Fields; Visually Impaired Persons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KW65JTAY","journalArticle","2018","McKean-Cowdin, R.; Fairbrother-Crisp, A.; Torres, M.; Lastra, C.; Choudhury, F.; Jiang, X.; Burkemper, B.; Varma, R.","The African American Eye Disease Study: Design and Methods","Ophthalmic Epidemiol","","0928-6586","10.1080/09286586.2018.1454965","http://dx.doi.org/10.1080/09286586.2018.1454965","PURPOSE: To describe the study design, operational and recruitment strategies, procedures, and baseline characteristics of the African American Eye Disease Study (AFEDS), a population-based assement of the prevalence of visual impairment, ocular disease, visual function, and health-related quality of life in African Americans. METHODS: This population-based, cross-sectional study included over 6000 African Americans 40 years and older residing in and around Inglewood, California. A detailed interview and eye examination was performed on each eligible participant. The interview included an assessment of demographic, behavioral, and ocular risk factors and health-related and vision-related quality of life. The eye examination included measurements of visual acuity, intraocular pressure, visual fields; fundus and optic disc photography; a detailed anterior and posterior segment examination; and measurements of blood pressure, glycosylated hemoglobin levels, and blood glucose levels. RESULTS: The AFEDS cohort includes more than 6000 participants that have completed a home questionnaire and a comprehensive eye examination. The majority of participants were female (63%), the average (+/- standard deviation) overall age was 60.9 (+/-11.3). Participants are mostly working (40%) or retired (41%), non-smoking (57%), partial drinking (54%), and with at least some college education (38%). A trust-development recruitment strategy was refined in order to overcome challenges in study participation. CONCLUSION: The AFEDS is the largest epidemiologic eye study among African Americans to date. The AFEDS cohort will provide information about the prevalence and risk factors of ocular disease in the largest ophthalmologic study population of African Americans in the United States.","2018-08","2019-10-11 00:28:57","2019-10-11 00:28:57","","306-314","","4","25","","Ophthalmic epidemiology","","","","","","","","eng","","","","29580111","NLM","","","","/Users/domusc/Zotero/storage/FYVFALED/McKean-Cowdin et al. - 2018 - The African American Eye Disease Study Design and.pdf","","African Americans; epidemiology; ocular disease; Population-based study; recruitment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYVD8S5A","journalArticle","2008","Wu, Suh-Yuh; Hennis, Anselm; Nemesure, Barbara; Leske, M. Cristina; Barbados Eye Studies Group","Impact of glaucoma, lens opacities, and cataract surgery on visual functioning and related quality of life: the Barbados Eye Studies","Investigative Ophthalmology & Visual Science","","0146-0404","10.1167/iovs.07-1252","","PURPOSE: To determine the relationship of open-angle glaucoma (OAG) and lens opacities to visual functioning and related quality of life (QOL), by using the 25-item National Eye Institute Visual Function Questionnaire (NEI-VFQ-25) in a population of African origin. METHODS: The study included 962 black participants of the Barbados Eye Studies with known glaucoma, prior cataract surgery, visual acuity (VA) <or=20/200, or self-reported fair to poor vision and consecutive participants without these conditions. Standardized examinations and protocols were used to define OAG and lens opacities. Associations with VFQ scores were evaluated by multiple regression analyses. RESULTS: After adjustment for age, additional demographic variables, and comorbidities, the presence of OAG was significantly associated with lower scores for distance activities, mental health, and color and peripheral vision, with an overall adjusted mean difference of approximately three points in composite scores. Significantly lower scores were found with PSC opacities, with an overall adjusted mean difference of 6 points (95% CI: 3.3-8.8) for the composite score. Persons who had undergone cataract extraction without intraocular lens implantation reported generally lower scores in many domains than those with pseudophakia and those without cataract surgery, with significantly lower adjusted mean scores for distance activities, social functioning, and color vision. CONCLUSIONS: Inferior vision-related QOL was associated with OAG, PSC, and aphakic cataract surgery, as assessed by the NEI-VFQ-25 in this African-origin population. Findings highlight the importance of targeting public health policy, patient care strategies, and social policy, to assist patients with glaucoma, cataract, and surgical aphakia in better coping with the impact of these conditions on QOL.","2008-04","2019-09-22 21:52:12","2019-09-22 21:52:30","","1333-1338","","4","49","","Invest. Ophthalmol. Vis. Sci.","Impact of glaucoma, lens opacities, and cataract surgery on visual functioning and related quality of life","","","","","","","eng","","","","","PubMed","","PMID: 18385046","","/Users/domusc/Zotero/storage/G9JSK6QL/Wu et al. - 2008 - Impact of glaucoma, lens opacities, and cataract s.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/18385046","","African Continental Ancestry Group; Aged; Aphakia, Postcataract; Barbados; Cataract; Cataract Extraction; Female; Glaucoma, Open-Angle; Health Status; Humans; Lens Implantation, Intraocular; Male; Pseudophakia; Quality of Life; Sickness Impact Profile; Surveys and Questionnaires; Visual Acuity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVBG2GSH","journalArticle","2019","Ramulu, P. Y.; Mihailovic, A.; West, S. K.; Gitlin, L. N.; Friedman, D. S.","Predictors of Falls per Step and Falls per Year At and Away From Home in Glaucoma","Am J Ophthalmol","","0002-9394","10.1016/j.ajo.2018.12.021","","OBJECTIVE: To determine where glaucoma patients most often fall and how integrated visual field (IVF) damage affects falls rates per year (falls/year) and per step (falls/step) at and away from home. DESIGN: Prospective, observational cohort study. METHODS: In 225 patients with glaucoma or suspected glaucoma, falls data were collected via calendars, fall location was classified through follow-up questionnaires, and steps taken at and away from home were judged by integrating data from annual week-long accelerometer and GPS trials. Main outcome measures were the association of IVF sensitivity with fall rates per year or step, stratified by location. RESULTS: Participants took more away steps than home steps (2366 vs 1524, P < .001), and differences in away vs home steps did not vary with IVF sensitivity (P = .22). A total of 57% of falls occurred at home, with each home step twice as likely to result in a fall as compared to each away step (rate ratio = 2.02, P < .001). Worse IVF sensitivity was not associated with a higher rate of home falls/year or away falls/year (P > .1 for both), but was associated with a higher rate of home falls/step (rate ratio = 1.34/5 dB worse sensitivity, P = .03) and away falls/step (rate ratio = 1.47/5 dB worse sensitivity, P = .003). CONCLUSIONS: In this glaucoma population, most falls occurred at home, and the risk of any step resulting in a fall was higher at home. Those with greater VF damage were more likely to fall for each step taken both at and away from home. Efforts such as home environmental modification should be considered in the visually impaired to prevent falls while maintaining physical activity.","2019-04","2020-06-04 02:41:36","2020-06-04 02:41:36","","169-178","","","200","","","","","","","","","","eng","","","","","","","PMCID: PMC6445769","","","http://dx.doi.org/10.1016/j.ajo.2018.12.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BF67PTA","journalArticle","2016","Jiang, S.; Wang, C.; Weiss, D. J.","Sample Size Requirements for Estimation of Item Parameters in the Multidimensional Graded Response Model","Front Psychol","","1664-1078 (Print)1664-1078","10.3389/fpsyg.2016.00109","","Likert types of rating scales in which a respondent chooses a response from an ordered set of response options are used to measure a wide variety of psychological, educational, and medical outcome variables. The most appropriate item response theory model for analyzing and scoring these instruments when they provide scores on multiple scales is the multidimensional graded response model (MGRM) A simulation study was conducted to investigate the variables that might affect item parameter recovery for the MGRM. Data were generated based on different sample sizes, test lengths, and scale intercorrelations. Parameter estimates were obtained through the flexMIRT software. The quality of parameter recovery was assessed by the correlation between true and estimated parameters as well as bias and root-mean-square-error. Results indicated that for the vast majority of cases studied a sample size of N = 500 provided accurate parameter estimates, except for tests with 240 items when 1000 examinees were necessary to obtain accurate parameter estimates. Increasing sample size beyond N = 1000 did not increase the accuracy of MGRM parameter estimates.","2016","2020-06-04 02:41:59","2020-06-04 02:41:59","","109","","","7","","","","","","","","","","eng","","","","","","","PMCID: PMC4746434","","","http://dx.doi.org/10.3389/fpsyg.2016.00109","graded response model; item parameters; multidimensionality; parameter recovery; sample size","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCQC355F","journalArticle","2017","Chun, Y. S.; Lee, D. I.; Kwon, J.; Park, I. K.","Comparison of Impact of Monocular and Integrated Binocular Visual Fields on Vision-related Quality of Life","J Glaucoma","","1057-0829","10.1097/ijg.0000000000000623","","PURPOSE OF THE STUDY: The purpose of the study was to investigate the relationship between vision-related quality of life (VRQOL) and mean deviation (MD) of the monocular visual field and integrated binocular visual field (IBVF). METHODS: One hundred eighty VFs (90 pairs) obtained from 90 patients with normal tension glaucoma were included. VRQOL was evaluated using the 25-item National Eye Institute Visual Function Questionnaire (NEI VFQ-25). IBVF was calculated using maximal sensitivity and binocular summation and IBVF MD was calculated. Multiple linear regression analysis was used to assess the impact of IBVF deficit on VRQOL after adjusting for confounding factors. These results were compared to those of monocular visual field. RESULTS: Mean subject age was 59.4 years. The average MD of maximal sensitivity was significantly higher than that of binocular summation, the better eye, and the worse eye (-3.27, -3.78, -3.96, and -8.66 dB, respectively, P<0.001). Rasch-analyzed NEI VFQ-25 subscales and composite scores were significantly correlated with IBVF deficit. The impact that IBVF had on VRQOL was similar to that of the better eye (R of 0.431, 0.422, and 0.422 for MD of the better eye, binocular summation, and maximal sensitivity, respectively). In contrast, the worse eye showed the least correlation with VRQOL (0.363). CONCLUSIONS: The impact of IBVF on VRQOL was similar to that of the better eye irrespective of integration method. Therefore, better eye MD could be a good indicator for VRQOL.","2017-03","2020-06-04 02:41:53","2020-06-04 02:41:53","","283-291","","3","26","","Journal of glaucoma","","","","","","","","eng","","","","","","","","","","http://dx.doi.org/10.1097/ijg.0000000000000623","Humans; Middle Aged; United States; Aged; Female; Male; Visual Field Tests; *Quality of Life; Sickness Impact Profile; Visual Fields/*physiology; Regression Analysis; Vision, Binocular/*physiology; Vision Disorders/physiopathology/*psychology; Low Tension Glaucoma/*physiopathology/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ATB8JXI","journalArticle","2013","Lisboa, R.; Chun, Y. S.; Zangwill, L. M.; Weinreb, R. N.; Rosen, P. N.; Liebmann, J. M.; Girkin, C. A.; Medeiros, F. A.","Association between rates of binocular visual field loss and vision-related quality of life in patients with glaucoma","JAMA Ophthalmol","","2168-6165","10.1001/jamaophthalmol.2013.2602","","IMPORTANCE: It is reasonable to hypothesize that for 2 patients with similar degrees of integrated binocular visual field (BVF) loss, the patient with a history of faster disease progression will report worse vision-related quality of life (VRQOL) than the patient with slowly progressing damage. However, to our knowledge, this hypothesis has not been investigated in the literature. OBJECTIVE: To evaluate the association between binocular rates of visual field change and VRQOL in patients with glaucoma. DESIGN Observational cohort study. SETTING: Patients were recruited from the Diagnostic Innovations in Glaucoma Study and the African Descent and Glaucoma Evaluation Study. PARTICIPANTS: The study included 796 eyes of 398 patients with diagnosed or suspected glaucoma followed up from October 1, 1998, until January 31, 2012, for a mean (SD) of 7.3 (2.0) years. MAIN OUTCOME MEASURES: The VRQOL was evaluated using the 25-item National Eye Institute Visual Function Questionnaire (NEI VFQ-25) at the last follow-up visit. The NEI VFQ-25 was completed for all patients during the period extending from December 1, 2009, through January 31, 2012. Integrated BVFs were calculated from the monocular fields of each patient. Linear regression of mean deviation values was used to evaluate rates of BVF change during the follow-up period. Logistic regression models were used to investigate the association between abnormal VRQOL and rates of BVF change, while adjusting for potentially confounding socioeconomic and demographic variables. RESULTS: Thirty-two patients (8.0%) had abnormal VRQOL as determined by the results of the NEI VFQ-25. Patients with abnormal VRQOL had significantly faster rates of BVF change than those with normal VRQOL (-0.18 vs -0.06 dB/y; P < .001). Rates of BVF change were significantly associated with abnormality in VRQOL (odds ratio = 1.31 per 0.1 dB/y faster; P = .04), after adjustment for confounding variables. CONCLUSIONS AND RELEVANCE: Patients with faster rates of BVF change were at higher risk of reporting abnormal VRQOL. Assessment of rates of BVF change may provide useful information in determining risk of functional impairment in glaucoma.","2013-04","2020-06-04 02:42:17","2020-06-04 02:42:17","","486-94","","4","131","","","","","","","","","","eng","","","","","","","PMCID: PMC3804264","","; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3804264/pdf/nihms515690.pdf; http://dx.doi.org/10.1001/jamaophthalmol.2013.2602","*Visual Fields; Humans; Middle Aged; Aged; Female; Male; Visual Field Tests; Follow-Up Studies; Intraocular Pressure; Sickness Impact Profile; Surveys and Questionnaires; Cohort Studies; Sensitivity and Specificity; Prospective Studies; Health Status; Vision Disorders/*diagnosis; *Vision, Binocular; Gonioscopy; Quality of Life/*psychology; Tonometry, Ocular; Vision, Ocular; African Americans/ethnology; Glaucoma/*diagnosis/ethnology/*psychology; Ocular Hypertension/diagnosis/ethnology/psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
